ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,time_dt,floating_at_end,floating_at_low,direction,date
3589652,9975497,2026-08-26 15:57:45,1787759865748,0,0,26011001,9975497,3,0.01,4630.65,0.0,0.0,0.0,0.0,XAUUSD.u,STR B10,,2026-08-26 15:57:45,-174.19999999999982,-184.89999999999964,BUY,2026-08-26
3623279,10534130,2026-08-27 05:42:16,1787809336569,0,0,26011001,10534130,3,0.01,4629.93,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-27 05:42:16,-173.48000000000047,-184.1800000000003,BUY,2026-08-27
3590091,9990988,2026-08-26 16:01:36,1787760096930,0,0,26011001,9990988,3,0.01,4627.57,0.0,0.0,0.0,0.0,XAUUSD.u,STR B8,,2026-08-26 16:01:36,-171.1199999999999,-181.8199999999997,BUY,2026-08-26
3591725,9997290,2026-08-26 16:23:26,1787761406046,0,0,26011001,9997290,3,0.01,4622.95,0.0,0.0,0.0,0.0,XAUUSD.u,STR B5,,2026-08-26 16:23:26,-166.5,-177.19999999999982,BUY,2026-08-26
3593067,10011239,2026-08-26 16:46:45,1787762805038,0,0,26011001,10011239,3,0.01,4618.33,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-26 16:46:45,-161.8800000000001,-172.57999999999993,BUY,2026-08-26
3693394,11018656,2026-08-28 08:59:39,1787907579683,0,0,26011001,11018656,3,0.01,4612.73,0.0,0.0,0.0,0.0,XAUUSD.u,STR B1,,2026-08-28 08:59:39,-156.27999999999975,-166.97999999999956,BUY,2026-08-28
3701518,11023948,2026-08-28 12:15:25,1787919325844,0,0,26011001,11023948,3,0.01,4609.39,0.0,0.0,0.0,0.0,XAUUSD.u,STR B3,,2026-08-28 12:15:25,-152.9400000000005,-163.64000000000033,BUY,2026-08-28
3630765,10548409,2026-08-27 08:40:34,1787820034162,0,0,26011001,10548409,3,0.01,4608.6,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-27 08:40:34,-152.15000000000055,-162.85000000000036,BUY,2026-08-27
3348747,9525751,2026-08-21 13:37:19,1787319439494,0,0,26011001,9525751,3,0.01,4603.32,0.0,0.0,0.0,0.0,XAUUSD.u,STR B8,,2026-08-21 13:37:19,-146.8699999999999,-157.5699999999997,BUY,2026-08-21
3357335,9542878,2026-08-21 16:27:47,1787329667444,0,0,26011001,9542878,3,0.01,4602.52,0.0,0.0,0.0,0.0,XAUUSD.u,STR B10,,2026-08-21 16:27:47,-146.07000000000062,-156.77000000000044,BUY,2026-08-21
3348635,9525748,2026-08-21 13:36:35,1787319395118,0,0,26011001,9525748,3,0.01,4601.79,0.0,0.0,0.0,0.0,XAUUSD.u,STR B7,,2026-08-21 13:36:35,-145.34000000000015,-156.03999999999996,BUY,2026-08-21
