ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
9647649,1787599049,1787599049516,1787599179,1787599179763,0,5,0,2,4,26011001,9647649,0,3,0.01,0.0,4650.63,0.0,0.0,4650.54,0.0,XAUUSD.u,STR S2,
9647650,1787599049,1787599049628,1787599209,1787599209395,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4658.38,0.0,0.0,4643.11,0.0,XAUUSD.u,STR B3,
9647651,1787599049,1787599049740,1787599197,1787599197001,0,5,0,2,4,26011001,9647651,0,3,0.01,0.0,4649.08,0.0,0.0,4649.05,0.0,XAUUSD.u,STR S3,
9647652,1787599049,1787599049851,1787599209,1787599209284,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4659.93,0.0,0.0,4643.2,0.0,XAUUSD.u,STR B4,
9647653,1787599049,1787599049963,1787599202,1787599202302,0,5,0,2,4,26011001,9647653,0,3,0.01,0.0,4647.53,0.0,0.0,4646.28,0.0,XAUUSD.u,STR S4,
9647654,1787599050,1787599050075,1787599209,1787599209172,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4661.48,0.0,0.0,4643.23,0.0,XAUUSD.u,STR B5,
9647655,1787599050,1787599050187,1787599202,1787599202336,0,5,0,2,4,26011001,9647655,0,3,0.01,0.0,4645.98,0.0,0.0,4645.8,0.0,XAUUSD.u,STR S5,
9647656,1787599050,1787599050301,1787599209,1787599209059,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4663.03,0.0,0.0,4643.27,0.0,XAUUSD.u,STR B6,
9647657,1787599050,1787599050413,1787599203,1787599203496,0,5,0,2,4,26011001,9647657,0,3,0.01,0.0,4644.43,0.0,0.0,4644.34,0.0,XAUUSD.u,STR S6,
9647658,1787599050,1787599050525,1787599208,1787599208946,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4664.58,0.0,0.0,4643.0,0.0,XAUUSD.u,STR B7,
9647659,1787599050,1787599050638,1787599206,1787599206877,0,5,0,2,4,26011001,9647659,0,3,0.01,0.0,4642.88,0.0,0.0,4642.55,0.0,XAUUSD.u,STR S7,
