============================================================================================================
CYCLE 252  start=2026-07-28 20:34:12.155000  first_close=2026-07-29 19:42:06.984000  anchor=4024.77 step=1.3400
  positions=160  flatten_closes=11  realized=632.83
============================================================================================================
  time                     market      real      float      TOTAL  op  armed  dist_st    $/pt
  07-29 15:32:35          4013.93    298.63    -312.57     -13.94  13     33    -8.09    23.0  (+86s)
  07-29 15:33:10          4011.76    303.30    -323.75     -20.45  12     33    -9.71    22.0  (+35s)
  07-29 15:33:30          4013.33    305.31    -319.48     -14.17  11     33    -8.54    21.0  (+20s)
  07-29 15:34:58          4016.62    305.31    -303.03       2.28  12     35    -6.08    22.0  (+87s)
  07-29 15:35:18          4016.31    305.31    -304.27       1.04  13     34    -6.31    23.0  (+20s)
  07-29 15:38:46          4014.04    305.31    -311.08      -5.77  14     33    -8.01    24.0  (+208s)
  07-29 15:42:04          4016.04    305.58    -307.35      -1.77  13     33    -6.51    23.0  (+198s)
  07-29 15:42:24          4015.20    307.00    -311.29      -4.29  12     33    -7.14    22.0  (+20s)
  07-29 15:48:08          4014.19    306.85    -315.18      -8.33  11     33    -7.90    21.0  (+345s)
  07-29 15:49:13          4015.39    306.85    -309.18      -2.33  12     34    -7.00    22.0  (+64s)
  07-29 15:49:33          4013.86    306.85    -315.30      -8.45  13     33    -8.14    23.0  (+20s)
  07-29 15:51:36          4011.71    310.53    -325.43     -14.90  12     33    -9.75    22.0  (+123s)
  07-29 15:52:26          4008.33    310.53    -338.95     -28.42  13     32   -12.27    28.0  (+50s)
  07-29 15:52:47          4007.21    310.53    -336.71     -26.18  14     31   -13.10    34.0  (+22s)
  07-29 15:53:25          4009.33    313.88    -357.02     -43.14  13     31   -11.52    33.0  (+38s)
  07-29 15:53:45          4008.70    319.04    -357.77     -38.73  12     31   -11.99    32.0  (+20s)
  07-29 15:54:07          4009.53    320.36    -364.07     -43.71  11     31   -11.37    31.0  (+21s)
  07-29 15:56:41          4005.91    320.36    -345.97     -25.61  12     30   -14.07    37.0  (+154s)
  07-29 15:57:01          4004.50    320.36    -330.46     -10.10  13     29   -15.13    43.0  (+20s)
  07-29 15:57:38          4006.06    343.46    -380.08     -36.62  12     29   -13.96    37.0  (+37s)
  07-29 15:58:10          4003.07    343.46    -347.19      -3.73  13     28   -16.19    43.0  (+32s)
  07-29 15:58:30          4005.33    361.46    -403.61     -42.15  12     28   -14.51    37.0  (+20s)
  07-29 15:58:50          4006.60    365.12    -421.24     -56.12  11     28   -13.56    31.0  (+20s)
  07-29 16:00:16          4007.15    365.12    -423.99     -58.87  12     28   -13.15    37.0  (+86s)
  07-29 16:00:52          4004.09    383.48    -408.69     -25.21  11     28   -15.43    31.0  (+35s)
  07-29 16:02:47          4005.43    386.36    -418.27     -31.91  10     28   -14.43    25.0  (+116s)
  07-29 16:03:29          4001.90    386.36    -421.80     -35.44  11     27   -17.07    31.0  (+42s)
  07-29 16:04:07          4004.24    387.92    -435.06     -47.14  10     27   -15.32    25.0  (+38s)
  07-29 16:04:43          4004.61    387.92    -434.69     -46.77  11     27   -15.04    31.0  (+36s)
  07-29 16:05:45          4005.99    387.92    -441.59     -53.67  12     27   -14.01    37.0  (+62s)
  07-29 16:08:00          4000.65    387.92    -382.85       5.07  13     20   -18.00    43.0  (+135s)
  07-29 16:08:44          3999.13    387.92    -357.01      30.91  14     25   -19.13    55.0  <<< TOTAL>=30  (+44s)
  07-29 16:09:12          4001.40    407.18    -442.10     -34.92  13     25   -17.44    49.0  (+28s)
  07-29 16:09:32          4001.40    434.72    -469.64     -34.92  12     25   -17.44    43.0  (+20s)
  07-29 16:10:20          3999.67    455.12    -460.63      -5.51  11     25   -18.73    37.0  (+49s)
  07-29 16:11:04          4001.13    459.74    -481.31     -21.57  10     25   -17.64    31.0  (+44s)
  07-29 16:13:57          3997.79    476.90    -481.77      -4.87   9     23   -20.13    25.0  (+173s)
  07-29 16:14:59          3999.04    477.98    -481.60      -3.62   8     23   -19.20    13.0  (+61s)
  07-29 16:15:39          4001.30    477.98    -452.22      25.76   9     23   -17.51    25.0  (+40s)
  07-29 16:18:26          4005.81    477.98    -447.71      30.27  10     26   -14.15    31.0  <<< TOTAL>=30  (+168s)
  07-29 16:18:46          4008.49    477.98    -461.11      16.87  11     26   -12.15    37.0  (+20s)
  07-29 16:22:15          4008.69    477.98    -463.31      14.67  12     26   -12.00    43.0  (+209s)
  07-29 16:27:09          4004.50    477.98    -392.08      85.90  13     25   -15.13    49.0  <<< TOTAL>=30  (+294s)
  07-29 16:27:51          4005.40    496.52    -431.32      65.20  12     25   -14.46    43.0  <<< TOTAL>=30  (+42s)
  07-29 16:28:12          4004.20    523.46    -437.86      85.60  11     25   -15.35    37.0  <<< TOTAL>=30  (+20s)
  07-29 16:31:52          4007.33    523.46    -472.29      51.17  12     25   -13.01    43.0  <<< TOTAL>=30  (+221s)
  07-29 16:34:12          4008.64    523.46    -494.56      28.90  13     25   -12.04    49.0  (+140s)
  07-29 16:39:51          4003.13    523.46    -367.83     155.63  14     24   -16.15    55.0  <<< TOTAL>=30  (+339s)
  07-29 16:40:11          4005.11    544.64    -446.43      98.21  13     24   -14.67    49.0  <<< TOTAL>=30  (+20s)
  07-29 16:41:13          4006.52    549.50    -483.72      65.78  12     24   -13.62    43.0  <<< TOTAL>=30  (+62s)
  07-29 16:43:14          4001.95    549.50    -406.03     143.47  13     23   -17.03    49.0  <<< TOTAL>=30  (+121s)
  07-29 16:44:12          4000.77    571.88    -401.27     170.61  12     23   -17.91    43.0  <<< TOTAL>=30  (+58s)
  07-29 16:44:32          4000.81    601.88    -431.95     169.93  11     23   -17.88    37.0  <<< TOTAL>=30  (+20s)
  07-29 16:46:49          3999.93    621.08    -441.47     179.61  10     27   -18.54    31.0  <<< TOTAL>=30  (+137s)
  07-29 16:47:19          4001.35    620.48    -447.97     172.51   9     27   -17.48    19.0  <<< TOTAL>=30  (+30s)
  07-29 16:47:39          4002.68    616.10    -434.28     181.82   8     28   -16.49    13.0  <<< TOTAL>=30  (+20s)
  07-29 16:51:19          4001.90    616.10    -444.42     171.68   9     29   -17.07    19.0  <<< TOTAL>=30  (+219s)
  07-29 17:06:49          4007.30    616.10    -406.62     209.48  10     29   -13.04    25.0  <<< TOTAL>=30  (+930s)
  07-29 17:10:09          4008.62    616.10    -405.30     210.80  11     29   -12.05    31.0  <<< TOTAL>=30  (+200s)
  07-29 17:20:35          4006.20    630.62    -407.72     222.90  10     30   -13.86    25.0  <<< TOTAL>=30  (+626s)
  07-29 17:22:06          4006.62    634.70    -411.38     223.32   9     30   -13.54    19.0  <<< TOTAL>=30  (+92s)
  07-29 17:32:15          4011.30    634.70    -378.62     256.08  10     31   -10.05    20.0  <<< TOTAL>=30  (+609s)
  07-29 17:34:00          4012.65    634.70    -370.52     264.18  11     31    -9.04    21.0  <<< TOTAL>=30  (+105s)
  07-29 17:41:43          4009.10    638.25    -391.82     246.43  10     33   -11.69    20.0  <<< TOTAL>=30  (+463s)
  07-29 17:44:19          4010.12    639.43    -386.88     252.55   9     33   -10.93    19.0  <<< TOTAL>=30  (+156s)
  07-29 17:50:23          4012.70    639.43    -368.82     270.61  10     34    -9.01    20.0  <<< TOTAL>=30  (+364s)
  07-29 17:53:21          4011.36    639.43    -376.86     262.57  11     33   -10.01    21.0  <<< TOTAL>=30  (+178s)
  07-29 17:59:25          4009.90    642.23    -386.96     255.27  10     33   -11.10    20.0  <<< TOTAL>=30  (+365s)
  07-29 18:00:05          4011.23    642.36    -379.11     263.25   9     33   -10.10    19.0  <<< TOTAL>=30  (+40s)
  07-29 18:07:26          4011.30    642.36    -378.62     263.74  10     33   -10.05    20.0  <<< TOTAL>=30  (+441s)
  07-29 18:10:25          4013.90    642.36    -363.02     279.34  11     34    -8.11    21.0  <<< TOTAL>=30  (+179s)
  07-29 18:11:01          4012.69    642.36    -369.07     273.29  12     33    -9.01    22.0  <<< TOTAL>=30  (+36s)
  07-29 18:18:09          4009.45    645.60    -385.27     260.33  11     33   -11.43    21.0  <<< TOTAL>=30  (+428s)
  07-29 18:18:29          4009.29    650.21    -390.68     259.53  10     33   -11.55    20.0  <<< TOTAL>=30  (+20s)
  07-29 18:19:34          4010.79    650.72    -382.19     268.53   9     33   -10.43    19.0  <<< TOTAL>=30  (+65s)
  07-29 18:34:21          4017.88    650.72    -332.56     318.16  10     35    -5.14    20.0  <<< TOTAL>=30  (+887s)
  07-29 18:51:04          4019.07    650.72    -325.42     325.30  11     35    -4.25    21.0  <<< TOTAL>=30  (+1003s)
