kind,t,cycle,side,lvl,vol,price,open_p,close_p,profit,reason,anchor,step
order_place,2026-07-23T19:02:12.870000,80,S,5,0.01,4049.62,,,,,,
order_place,2026-07-23T19:02:12.870000,80,S,6,0.01,4048.27,,,,,,
fill,2026-07-23T19:41:22.251000,80,S,4,0.01,4043.395,,,,,,
fill,2026-07-23T19:41:22.251000,80,S,5,0.01,4043.395,,,,,,
fill,2026-07-23T19:41:22.251000,80,S,6,0.01,4043.395,,,,,,
fill,2026-07-24T04:47:55.547000,80,S,12,0.06,4039.9750000000004,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,8,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,9,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,10,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,11,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,12,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,13,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,13,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,14,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,14,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,15,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,15,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,16,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,16,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,17,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,17,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,18,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,18,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,19,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,19,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,20,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,20,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,21,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,21,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,22,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,22,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,23,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,23,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,24,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,24,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,25,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,25,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,26,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,26,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,27,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,27,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,28,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,28,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,29,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,29,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,30,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,S,30,,,,,,,,
order_cancel,2026-07-24T04:47:55.547000,80,B,1,,,,,,,,
close,2026-07-24T04:47:55.547000,80,S,9,0.01,,4043.1850000000004,4040.125,3.0600000000004,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,S,10,0.01,,4042.0750000000003,4040.125,1.950000000000273,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,S,11,0.06,,4040.735,4040.125,3.660000000000764,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,B,5,0.01,,4064.055,4039.9750000000004,-24.079999999999472,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,B,6,0.01,,4065.515,4039.9750000000004,-25.53999999999951,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,B,7,0.01,,4066.4649999999997,4039.9750000000004,-26.489999999999327,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,B,3,0.01,,4060.975,4039.9750000000004,-20.999999999999545,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,B,2,0.01,,4060.975,4039.9750000000004,-20.999999999999545,grid_recenter,,
